,grade,고객수(명),고객수퍼센트,구입액퍼센트
0,1등급,16024,0.19695181907571288,0.6767973198686806
1,2등급,14767,0.18150196656833825,0.1691595860375582
2,3등급,15751,0.19359636184857423,0.0926439581836849
3,4등급,14623,0.17973205506391346,0.03907472590583875
4,5등급,20195,0.24821779744346115,0.022324410004237478
