,물품대분류,상품명,물품판매량,제품단가,재구매기간0-10,재구매기간11-20,재구매기간21-30,재구매기간31-40,재구매기간41-50,재구매기간51-60,재구매기간61-70,재구매기간71-80,재구매기간81-90,재구매기간91-100,재구매기간101-
46,FC,디펜드 스타일 언더웨어 여성용 슬림 중형 60매 (실속 점보팩),23,57600,7.0,5.0,4.0,1.0,,,,,,,
47,FC,디펜드 안심플러스 언더웨어 중형 18개입 X 3,3,68880,,,,,,,,,,,
48,FC,디펜드 안심플러스 언더웨어 중형 54매,9,57240,,1.0,1.0,,1.0,,,,,,
49,FC,라네이처 데일리라이너 롱 28개입,55,8253,,,,,,,,,,,
50,FC,라네이처 데일리라이너 롱 28개입 X 3,6,15300,,,,,,,,,,,
51,FC,라네이처 세트,9,35000,,,,,,,,,,,
52,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입,5,14220,,,,,,,,,,,
53,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA),15,8953,,,,,,,,,,,
54,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA) X 3,26,0,,,,1.0,,,,,,,
55,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입,12,15142,2.0,,,,,,,,,,
56,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA),13,10938,,,,,,,,,,,
57,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA) X 3,26,0,,,,,,,,,,,
58,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입,9,8778,,,,,,,,,,,
59,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA),12,9217,,,,,,,,,,,
60,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA) X 3,24,0,,,,,,,,,,,
61,FC,라네이처 시그니처 세트,4,38700,,,,,,,,,,,
62,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입,4,12425,,,,,,,,,,,
63,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA),5,9940,,,,,,,,,,,
64,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA) X 3,22,0,,,,,,,,,,,
65,FC,라네이처 시그니처 울트라슬림 날개 대형 10개입 (EA),4,8875,,,,,,,,,,,
66,FC,라네이처 시그니처 울트라슬림 날개 소형 14개입 (EA),11,9682,,,,,,,,,,,
67,FC,라네이처 시그니처 울트라슬림 날개 중형 12개입 (EA),6,14200,,,,,,,,,,,
68,FC,라네이처 시그니처 팬티라이너 롱 28개입,2,10650,,,,,,,,,,,
69,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA),8,8875,,,,,,,,,,,
70,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA) X 3,12,0,,,,,,,,,,,
71,FC,라네이처 울트라 날개 대형 10개입,78,8827,1.0,,,,,,1.0,,,1.0,
72,FC,라네이처 울트라 날개 대형 10개입 X 3,6,17850,,,,,,,,,,,
73,FC,라네이처 울트라 날개 소형 14개입,75,8580,1.0,1.0,,,,,,,,,
74,FC,라네이처 울트라 날개 오버나이트 14개입,28,12214,,,,,,,,,,,
75,FC,라네이처 울트라 날개 오버나이트 14개입 X 2,3,25333,,,,,,,,,,,
76,FC,라네이처 울트라 날개 중형 12개입,107,8675,,1.0,1.0,1.0,1.0,1.0,,,,,
77,FC,라네이처 울트라 날개 중형 12개입 (EA),10,6120,,,,,,,,,,,
78,FC,라네이처 울트라 날개 중형 12개입 X 2 + 울트라 날개 오버나이트 14개입,4,19700,,,,,,,,,,,
79,FC,라네이처 울트라 날개 중형 12개입 X 3,4,15300,,,,,,,,,,,
80,FC,라네이처 페미닌 워시 젤 240ml,29,17000,,,,,,,,,,,
81,FC,라네이처 페미닌 워시 젤 240ml (EA),4,16000,,,,,,,,,,,
82,FC,라네이처 페미닌 워시 폼 200ml,33,19061,1.0,,,,,,,,,,
83,FC,라네이처 페미닌 워시 폼 200ml (EA),8,19800,,,,,,,,,,,
84,FC,라네이처 페미닌 티슈 6매 X 5개입,12,11667,1.0,,,,,,,,,,
85,FC,라네이처 페미닌 티슈 6매 X 5개입 (EA),1,6600,,,,,,,,,,,
86,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,100,9680,2.0,1.0,,1.0,,1.0,1.0,,,,
87,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),3,4950,,,,,,,,,,,
88,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩,14,20036,2.0,,,,,,,,,,
89,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩 + 20주년 한정판 파우치,27,16500,,,,,,,,,,,
90,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,97,9559,7.0,,,1.0,,1.0,1.0,1.0,,,
91,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),1,10980,,,,,,,,,,,
92,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩,16,22875,,,,,,,,,,,
93,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 20주년 한정판 파우치,19,18300,1.0,,,,,,,,,,
94,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,38,18300,,,,,,,,,,,
95,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,104,9530,5.0,5.0,,,,,1.0,,,,
96,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),18,5035,,,,,,,,,,,
97,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 20주년 한정판 파우치,28,16700,,,,,,,,,,,
98,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 뉴 울트라 날개 중형 8매,26,16700,,,,,,,,,,,
99,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩,15,15900,,,,,,,,,,,
100,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 20주년 한정판 파우치,53,15900,3.0,,,,,,,,,,
101,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,57,15900,2.0,,,,,,,,,,
102,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입,78,7406,4.0,,,,,,,,,,1.0
103,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 (EA),8,5366,,,,,,,,,,,
104,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩,16,14906,5.0,,,,,,,,,,
