물품대분류,상품명,물품판매량,제품단가,브랜드명,물품분류,물품중분류,기저귀 유형,기저귀 단계,Age_Range,,,
FC,디펜드 맘스 안심패드 30개입,98,7944,디펜드,여성용품,산모전용제품,,,NaN,,,
FC,디펜드 스타일 언더웨어 남성용 슬림 대형 16개입 X 3,2,48240,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 남성용 슬림 대형 54매 (실속 점보팩),3,59940,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 남성용 슬림 중형 18개입 X 3,2,73980,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 남성용 슬림 중형 60매 (실속 점보팩),7,60600,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 여성용 슬림 대형 16개입 X 3,3,61240,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 여성용 슬림 대형 54매 (실속 점보팩),2,57240,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 여성용 슬림 중형 18개입 X 3,2,46980,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 스타일 언더웨어 여성용 슬림 중형 60매 (실속 점보팩),23,57600,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 안심플러스 언더웨어 중형 18개입 X 3,3,68880,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,디펜드 안심플러스 언더웨어 중형 54매,9,57240,디펜드,시니어용품,언더웨어,,,NaN,,,
FC,라네이처 데일리라이너 롱 28개입,55,8253,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 데일리라이너 롱 28개입 X 3,6,15300,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 세트,9,35000,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 대형 10개입,5,14220,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA),15,8953,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA) X 3,26,0,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 중형 12개입,12,15142,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA),13,10938,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA) X 3,26,0,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입,9,8778,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA),12,9217,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA) X 3,24,0,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 세트,4,38700,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라 날개 오버나이트 8개입,4,12425,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA),5,9940,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA) X 3,22,0,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라슬림 날개 대형 10개입 (EA),4,8875,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라슬림 날개 소형 14개입 (EA),11,9682,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 울트라슬림 날개 중형 12개입 (EA),6,14200,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 팬티라이너 롱 28개입,2,10650,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA),8,8875,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA) X 3,12,0,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 대형 10개입,78,8827,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 대형 10개입 X 3,6,17850,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 소형 14개입,75,8580,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 오버나이트 14개입,28,12214,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 오버나이트 14개입 X 2,3,25333,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 중형 12개입,107,8675,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 중형 12개입 (EA),10,6120,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 중형 12개입 X 2 + 울트라 날개 오버나이트 14개입,4,19700,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 울트라 날개 중형 12개입 X 3,4,15300,라네이처,여성용품,생리대,,,NaN,,,
FC,라네이처 페미닌 워시 젤 240ml,29,17000,라네이처,여성용품,여성청결제,,,NaN,,,
FC,라네이처 페미닌 워시 젤 240ml (EA),4,16000,라네이처,여성용품,여성청결제,,,NaN,,,
FC,라네이처 페미닌 워시 폼 200ml,33,19061,라네이처,여성용품,여성청결제,,,NaN,,,
FC,라네이처 페미닌 워시 폼 200ml (EA),8,19800,라네이처,여성용품,여성청결제,,,NaN,,,
FC,라네이처 페미닌 티슈 6매 X 5개입,12,11667,라네이처,여성용품,휴지/티슈,,,NaN,,,
FC,라네이처 페미닌 티슈 6매 X 5개입 (EA),1,6600,라네이처,여성용품,휴지/티슈,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,100,9680,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),3,4950,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩,14,20036,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩 + 20주년 한정판 파우치,27,16500,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,97,9559,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),1,10980,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩,16,22875,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 20주년 한정판 파우치,19,18300,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,38,18300,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,104,9530,좋은느낌,여성용품,생리대,,,NaN,,,
